huc_6,pca,huc_pca_ratio,pca_huc_ratio
070400,68,0.132382476407421,0.169419920975233
070400,46,0.316526102033507,0.169896438224891
070400,77,0.122994541915512,0.1801410432439
070400,43,0.415953374425921,0.0939355888970636
120902,64,0.869342660083734,0.256469299090036
111201,60,0.220198615032351,0.0805111756467863
120901,62,0.14240396841979,0.202981519138387
120901,64,0.0641134368805829,0.0348647022688149
120901,61,0.572206768687774,0.173974900173685
120901,63,0.215185173575383,0.0599678203307831
150501,28,1,0.0422389673429011
020302,128,0.913456395926064,0.999999994974085
070700,69,1.70736032326136e-05,2.71958727787398e-05
070700,46,0.033091510243282,0.0196956754603615
070700,77,0.299391093491197,0.486233925679803
070700,74,0.00354045708823916,0.00351787056027243
070700,75,0.427078452816231,0.410968368572566
070700,78,0.0185644911216232,0.0869086184381894
160203,12,0.170549925199851,0.0372697481366848
160203,16,0.03183845735357,0.0331174463648171
160203,25,0.797611617446587,0.249346704912405
180400,10,0.000119692559845569,2.91431826787758e-05
180400,9,0.999880307440071,0.214997411733759
090300,42,0.446500692058829,0.243949450882492
090300,43,0.553499307727275,0.130828146564498
170900,6,0.00870952810959088,0.00539567866405031
170900,2,0.0183348570443391,0.00853341228794876
170900,5,0.972955614845957,0.245118031655429
101102,23,0.0760489131351705,0.0718445788230538
120800,48,0.245054357221511,0.113295764233013
120800,60,0.275906518807073,0.208348969979763
080302,86,0.000901344754369843,0.00176269421123314
080302,87,0.727262223740144,0.279580815810813
170601,15,0.029735697038169,0.00638141831008619
170601,2,0.18102321267263,0.0839316570140169
170601,7,0.000644833345896192,0.000237905499661584
170601,5,0.418226760017138,0.104964001212222
170601,3,0.308021016313075,0.170823452940617
170601,14,0.0623484806130514,0.0942973660756887
170703,6,0.075906502080766,0.0431100319166958
170703,7,0.0253665192370076,0.00861230609062761
170703,5,0.898726978682297,0.207566816175506
140801,34,0.318404457442403,0.081742543249337
140801,31,0.661499296938875,0.0958220668950508
140801,29,0.0200962456187188,0.0259951534236836
140802,34,0.112558491621477,0.0207470134805621
140802,28,0.106560050588773,0.014090769751881
140802,31,0.0145688040516047,0.00151519443771259
090400,18,0.999657782891153,0.0130933600220182
090400,17,0.000342216759323616,6.20567274372426e-06
102100,40,0.910147911597978,0.270582557812807
102100,39,0.0898520884020208,0.0692958409127242
180703,10,0.230580923750841,0.0136958639914645
180703,11,0.769419075907504,0.701063626420584
080102,88,0.099805902093945,0.0785298020454219
080102,92,0.781881797818632,0.185085465759346
080102,93,0.111410187833195,0.112822814684624
080102,87,0.00690211225422523,0.00196808149431781
110200,52,0.000839078077020902,0.001016926210778
041402,127,0.999999999999575,0.107611736677534
180600,10,0.0257274900303341,0.00448877551182065
180600,9,0.974272509700691,0.150115767033359
121002,64,0.883277907391555,0.187371204800896
121002,65,0.116722092608444,0.0172431990501674
030402,95,0.0166278102136628,0.0242083663050718
030402,97,0.0205658443349379,0.0121369190904726
030402,96,0.65455515349868,0.332472092520492
030402,98,0.308251191839935,0.121310123389503
070700,76,0.218316921636221,0.262821799848083
120800,61,0.0619715693119657,0.0199034898054698
110600,53,0.445961505803067,0.0708557986845526
110600,50,0.472139647994816,0.0883358854871118
102500,33,0.211400954277038,0.110713360642977
102500,52,0.191249972770164,0.231662833255103
102500,39,0.106160330916561,0.13512372636238
101401,32,0.0267442979925518,0.0296086527931957
101401,38,0.973104234914166,0.14520294710443
101102,36,0.498228740708504,0.142339855168071
101102,35,0.36093481371881,0.14269423216933
101102,38,0.0634722913920317,0.00888734501006269
080403,58,0.980166817738714,0.108960602857789
080403,86,0.0198331822612834,0.0127788025534146
